question,ground_truth,contexts,evolution_type
"D?a v?o c? hai ?o?n th?ng tin, h?y x?c ??nh h?y t?ng h?p Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?","VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
Cho t?i bi?t trong h? th?ng n?y VinTech có bao nhiêu nhân viên trong ng? c?nh t?i li?u ?? cho?,5.000 nhân viên tính đến Q4 2023.,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%, Operations 15%, C-Suite/Management 5%.']",simple
"Xem x?t t?nh hu?ng Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu n?u c?c th?ng s? kh?ng ??i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
So s?nh v? suy ra Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu khi k?t h?p nhi?u th?ng tin li?n quan?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
So s?nh xuy?n su?t c?c context h?y so s?nh Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
"Xem x?t t?nh hu?ng v? Nếu VinCloud downtime 12 giờ trong năm, khách hàng được bồi thường bao nhiêu trong b?i c?nh hi?n t?i?","Downtime 12 giờ > 8.76 giờ cam kết, uptime ~99.86%, bồi thường 10% phí tháng.","['VinCloud uptime cam kết 99.9% theo SLA. Nếu uptime dưới 99.9%, khách hàng được bồi thường: 99.0-99.9% → 10% phí tháng; 95.0-99.0% → 25% phí tháng; dưới 95.0% → 50% phí tháng.', 'Uptime cam kết 99.9% (downtime tối đa 8.76 giờ/năm).']",reasoning
T? n?i dung ?? cho VinTech có bao nhiêu nhân viên ng?n g?n theo d? li?u cung c?p?,5.000 nhân viên tính đến Q4 2023.,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%, Operations 15%, C-Suite/Management 5%.']",simple
"D?a tr?n c?c con s? sau, h?y x?c ??nh VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?","Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
"T? d? ki?n ?? cho, h?y t?nh to?n v? Nếu doanh thu VinTech tăng trưởng cùng tốc độ năm 2023, doanh thu 2024 dự kiến là bao nhiêu trong b?i c?nh hi?n t?i?",Dự kiến 3.125 tỷ VND nếu tăng trưởng 25% như năm 2023.,"['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY).']",reasoning
"N?u gi? nguy?n xu h??ng hi?n t?i, h?y d? ?o?n v? VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?","Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
Khi VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?,"Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
"T? c?c th?ng tin ?? cho, h?y t?nh v? VinTech có tuân thủ quy định bảo vệ dữ liệu cá nhân của Việt Nam không n?u c?c th?ng s? kh?ng ??i?","Có, VinTech tuân thủ Nghị định 13/2023/NĐ-CP với mã hóa AES-256 và không bán dữ liệu cho bên thứ ba.",['VinTech tuân thủ Nghị định 13/2023/NĐ-CP về bảo vệ dữ liệu cá nhân tại Việt Nam. Dữ liệu khách hàng được mã hóa AES-256 khi lưu trữ và TLS 1.3 khi truyền tải. VinTech không bán dữ liệu cho bên thứ ba.'],reasoning
Ph?i h?p d? li?u v? v? So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) khi k?t h?p nhi?u th?ng tin li?n quan?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
H?y t?ng h?p v? So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) t? ?t nh?t hai ?o?n d? li?u?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
"T? c?c d? ki?n ???c cung c?p, h?y t?nh h?y ??i chi?u So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) khi k?t h?p nhi?u th?ng tin li?n quan?",3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
"D?a v?o c? hai ?o?n th?ng tin, h?y x?c ??nh h?y li?n k?t So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) khi k?t h?p nhi?u th?ng tin li?n quan?",3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
"N?u h?y suy lu?n Nếu doanh thu VinTech tăng trưởng cùng tốc độ năm 2023, doanh thu 2024 dự kiến là bao nhiêu n?u c?c th?ng s? kh?ng ??i?",Dự kiến 3.125 tỷ VND nếu tăng trưởng 25% như năm 2023.,"['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY).']",reasoning
"D?a tr?n c?c m?u th?ng tin li?n quan, h?y so s?nh h?y li?n k?t Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?","VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
"T? c?c ngu?n d? li?u sau, h?y t?ng h?p Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu khi k?t h?p nhi?u th?ng tin li?n quan?","VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
H?y ph?n t?ch k?t h?p v? Mảng nào đóng góp nhiều nhất vào doanh thu VinTech và chi phí cơ bản của mảng đó là bao nhiêu t? ?t nh?t hai ?o?n d? li?u?,"VinCloud chiếm 40% doanh thu (1.000 tỷ VND), gói Basic giá 500.000 VND/tháng.","['Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).', 'VinCloud cung cấp 3 gói dịch vụ: Basic (500.000 VND/tháng, 10 vCPU, 20GB RAM), Pro (2.000.000 VND/tháng, 40 vCPU, 80GB RAM), và Enterprise (liên hệ báo giá).']",multi_context
Xem x?t ??ng th?i c?c d? li?u v? cho bi?t h?y t?ng h?p So sánh số nhân viên của VinTech và tỷ lệ nhân viên kỹ thuật với doanh thu mảng kỹ thuật (VinCloud + VinAI) t? ?t nh?t hai ?o?n d? li?u?,3.000 nhân viên kỹ thuật tạo ra 1.375 tỷ doanh thu (~458 triệu VND/người).,"['VinTech có 5.000 nhân viên tính đến Q4 2023. Cơ cấu: Engineering 60%, Sales & Marketing 20%.', 'Doanh thu theo mảng: VinCloud 40% (1.000 tỷ), VinERP 35% (875 tỷ), VinAI 15% (375 tỷ), dịch vụ khác 10% (250 tỷ).']",multi_context
"N?u gi? nguy?n xu h??ng hi?n t?i, h?y d? ?o?n h?y suy lu?n Nếu doanh thu VinTech tăng trưởng cùng tốc độ năm 2023, doanh thu 2024 dự kiến là bao nhiêu trong b?i c?nh hi?n t?i?",Dự kiến 3.125 tỷ VND nếu tăng trưởng 25% như năm 2023.,"['Năm 2023, VinTech đạt doanh thu 2.500 tỷ VND (tăng 25% YoY).']",reasoning
